LTM 1300-1 Teleskop Bom 87.5t CW - 8.85x8.5m - 360°
config: pivotH=2.5, outrigger=full, cw=87.5
,15,20.2,25.4,30.5,35.7,40.9,46.1,51.2,56.4,60
3,300,,,,,,,,
3.5,201,152,,,,,,,
4,188,152,152,,,,,,
4.5,174,152,152,,,,,,
5,161,148,142,121,,,,,,
6,138,129,128,111,90,,,,,
7,119,114,113,101,83,73,,,,
8,104,102,101,93,77,68,58,,,
9,92,91,90,85,71,63,55,46.5,,
10,82,82,81,79,67,60,52,44.5,37,
12,67,67,67,67,58,53,46.5,40.5,34,30.5
14,,57,56,57,52,46.5,41,37,31.5,29
16,,49,48,49,46.5,41.5,37,33.5,29.4,27
18,,43,42,42.5,42.5,37.5,33.5,30.5,27.2,25.2
20,,,37,37.5,38,34.5,30.5,27.7,25.2,23.5
22,,,32.5,33.5,34.5,31.5,27.8,25.3,23.4,21.8
24,,,,29.6,30.5,28.7,25.6,23.3,21.7,20.2
26,,,,27.5,27.5,26.5,23.5,21.6,20.2,18.8
28,,,,25.6,24.8,23.9,21.8,20,18.7,17.5
30,,,,,22.6,21.8,20.3,18.5,17.4,16.4
32,,,,,20.6,20.4,18.9,17.3,16.2,15.3
34,,,,,,18.7,17.6,16.2,15.2,14.3
36,,,,,,17.1,16.2,15.1,14.3,13.5
38,,,,,,15.8,15.3,14.1,13.4,12.7
40,,,,,,,14.6,13.4,12.6,12
42,,,,,,,13.7,12.7,11.8,11.3
44,,,,,,,11.8,11.8,11.3,10.6
46,,,,,,,,11.2,10.7,10
48,,,,,,,,10.7,10.2,9.6
50,,,,,,,,,9.7,9.1
52,,,,,,,,,9,8.6
54,,,,,,,,,8.4,8.2
56,,,,,,,,,,7.7
58,,,,,,,,,,5.4
